TARIH	POS	BARCODE	TUTAR	MIKTAR	ID	FK_TRANSACTION_HEADER	LINE_NO	STATUS	FK_SELLER	FK_DEPARTMENT_VAT	VAT_PERCENT	AMOUNT	FK_UNIT	UNIT_PRICE	ORG_UNIT_PRICE	FK_PAYMENT_TYPE	CURRENCY_UNIT_PRICE	TOTAL_PRICE	DEFAULT_RETURN_PRICE	VAT_TOTAL	DISCOUNT_TOTAL	INDIRECT_DISCOUNT_TOTAL	CAMPAIGN_DISCOUNT	CHEQUE_DISCOUNT	ROUNDING_TOTAL	SALE_TYPE	FK_PRICE_CHANGE_REASON	FK_STOCK_CARD	BARCODE	CODE	DESCRIPTION	PRICE_CHANGED	KEY_USED	STOCK_CODE_USED	KOMANDATURA	POINT_TOTAL	CUSTOM_TEXT	FK_RETURN_REASON	FK_RETURN_REASON_USER	FIRST_PRICE	DISCOUNT_FLAG	OPTION_BITFLAG	CREATE_DATE	FK_USER_CREATE	MODIFY_DATE	FK_USER_MODIFY	FK_STORE_LU	FK_STORE_LS	UPDATESEQ	RETURNABLE_AMOUNT
2026-01-03	24	8690574116744	44,95	1	20040020051844	20040020002444	2	0	-1	7	10	1	1	44,95	44,95	1	0,00	44,95	44,95	4,09	0,00	0,00	0,00	0,00	0,00	0	0	20200000050966	8690574116744	8690574116744	LIPTON ICE TEA SOFRA	0	0	1	1	0		0	0	44,95	1	0	2026-01-03 07:40:00.000	0	2026-01-03 07:40:00.000	0	20004	20004	1	0,00
2026-01-03	24	8690574116744	44,95	1	20040020051847	20040020002444	5	0	-1	7	10	1	1	44,95	44,95	1	0,00	44,95	44,95	4,09	0,00	0,00	0,00	0,00	0,00	0	0	20200000050966	8690574116744	8690574116744	LIPTON ICE TEA SOFRA	0	0	1	1	0		0	0	44,95	1	0	2026-01-03 07:40:00.000	0	2026-01-03 07:40:00.000	0	20004	20004	1	0,00
2026-01-03	24	5000112666175	44,60	1	20040020051857	20040020002447	2	0	-1	7	10	1	1	44,60	44,60	1	0,00	44,60	44,60	4,06	0,00	0,00	0,00	0,00	0,00	0	0	20200000045831	5000112666175	5000112666175	FUSE TEA ICE TEA MAN	0	0	1	1	0		0	0	44,60	1	0	2026-01-03 07:45:00.000	0	2026-01-03 07:45:00.000	0	20004	20004	1	0,00
2026-01-03	24	8690526095226	44,90	1	20040020052003	20040020002463	5	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	17243	8690526095226	8690526095226	ETI HOSBES FINDIK KR	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 08:32:00.000	0	2026-01-03 08:32:00.000	0	20004	20004	1	0,00
2026-01-03	24	8690526786568	44,10	1	20040020052045	20040020002463	47	0	-1	2	5	1	1	44,10	44,10	1	0,00	44,10	44,10	2,10	0,00	0,00	0,00	0,00	0,00	0	0	20200000025167	8690526786568	8690526786568	ETI KOMBO LOKMALIK 8	0	0	1	1	0		0	0	44,10	1	0	2026-01-03 08:32:00.000	0	2026-01-03 08:32:00.000	0	20004	20004	1	0,00
2026-01-03	24	5000112666175	44,60	1	20040020052363	20040020002487	3	0	-1	7	10	1	1	44,60	44,60	1	0,00	44,60	44,60	4,06	0,00	0,00	0,00	0,00	0,00	0	0	20200000045831	5000112666175	5000112666175	FUSE TEA ICE TEA MAN	0	0	1	1	0		0	0	44,60	1	0	2026-01-03 09:35:00.000	0	2026-01-03 09:35:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020052556	20040020002499	9	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 10:15:00.000	0	2026-01-03 10:15:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990013074	44,90	1	20040020052557	20040020002499	10	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000026125	2182990013074	2182990013074	MESARGA KOY EKMEGI 1	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 10:15:00.000	0	2026-01-03 10:15:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990015313	44,90	1	20040020052584	20040020002501	2	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000046633	2182990015313	2182990015313	MESARGA KOY COREGI 8	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 10:19:00.000	0	2026-01-03 10:19:00.000	0	20004	20004	1	0,00
2026-01-03	24	2182990015313	44,90	1	20040020052585	20040020002501	3	0	-1	2	5	1	1	44,90	44,90	1	0,00	44,90	44,90	2,14	0,00	0,00	0,00	0,00	0,00	0	0	10020000046633	2182990015313	2182990015313	MESARGA KOY COREGI 8	0	0	1	1	0		0	0	44,90	1	0	2026-01-03 10:19:00.000	0	2026-01-03 10:19:00.000	0	20004	20004	1	0,00
